id,code,name,market
597,84670,동양고속,KOSPI
598,82640,동양생명,KOSPI
599,60380,동양에스텍,KOSDAQ
600,1525,동양우,KOSPI
601,79960,동양이엔피,KOSDAQ
602,8970,동양철관,KOSPI
603,228340,동양파일,KOSDAQ
604,92780,동양피스톤,KOSPI
605,88910,동우팜투테이블,KOSDAQ
606,94170,동운아나텍,KOSDAQ
607,49770,동원F&B,KOSPI
608,13120,동원개발,KOSDAQ
609,18500,동원금속,KOSPI
610,6040,동원산업,KOSPI
611,30720,동원수산,KOSPI
612,14820,동원시스템즈,KOSPI
613,14825,동원시스템즈우,KOSPI
614,163560,동일고무벨트,KOSPI
615,109860,동일금속,KOSDAQ
616,32960,동일기연,KOSDAQ
617,4890,동일산업,KOSPI
618,2690,동일제강,KOSPI
619,23790,동일철강,KOSDAQ
620,5290,동진쎄미켐,KOSDAQ
621,25900,동화기업,KOSDAQ
622,20,동화약품,KOSPI
623,150,두산,KOSPI
624,157,두산2우B,KOSPI
625,241560,두산밥캣,KOSPI
626,155,두산우,KOSPI
627,34020,두산중공업,KOSPI
628,336260,두산퓨얼셀,KOSPI
629,33626K,두산퓨얼셀1우,KOSPI
630,33626L,두산퓨얼셀2우B,KOSPI
631,16740,두올,KOSPI
632,73190,듀오백,KOSDAQ
633,176750,듀켐바이오,KONEX
634,30350,드래곤플라이,KOSDAQ
635,203650,드림시큐리티,KOSDAQ
636,223250,드림씨아이에스,KOSDAQ
637,60570,드림어스컴퍼니,KOSDAQ
638,192650,드림텍,KOSPI
639,217620,디딤,KOSDAQ
640,187870,디바이스이엔지,KOSDAQ
641,66670,디스플레이텍,KOSDAQ
642,24090,디씨엠,KOSPI
643,3160,디아이,KOSPI
644,92200,디아이씨,KOSPI
645,110990,디아이티,KOSDAQ
646,263690,디알젬,KOSDAQ
647,214680,디알텍,KOSDAQ
648,377190,디앤디플랫폼리츠,KOSPI
649,263720,디앤씨미디어,KOSDAQ
650,109740,디에스케이,KOSDAQ
651,131030,디에이치피코리아,KOSDAQ
652,196490,디에이테크놀로지,KOSDAQ
653,66900,디에이피,KOSDAQ
654,127120,디엔에이링크,KOSDAQ
655,92070,디엔에프,KOSDAQ
656,134580,디엠티,KOSDAQ
657,39840,디오,KOSDAQ
658,13570,디와이,KOSPI
659,219550,디와이디대양,KOSDAQ
660,210540,디와이파워,KOSPI
661,104460,디와이피엔에프,KOSDAQ
662,79810,디이엔티,KOSDAQ
663,113810,디젠스,KOSDAQ
664,43360,디지아이,KOSDAQ
665,197140,디지캡,KOSDAQ
666,106520,디지탈옵틱,KOSDAQ
667,68930,디지털대성,KOSDAQ
668,33130,디지틀조선,KOSDAQ
669,105740,디케이락,KOSDAQ
670,263020,디케이앤디,KOSDAQ
671,290550,디케이티,KOSDAQ
672,7340,디티알오토모티브,KOSPI
673,187220,디티앤씨,KOSDAQ
674,26890,디피씨,KOSPI
675,163430,디피코,KONEX
676,131180,딜리,KOSDAQ
677,315640,딥노이드,KOSDAQ
678,317120,라닉스,KOSDAQ
679,42510,라온시큐어,KOSDAQ
680,232680,라온테크,KOSDAQ
681,300120,라온피플,KOSDAQ
682,171120,라이온켐텍,KOSDAQ
683,69540,라이트론,KOSDAQ
684,285770,라이프사이언스테크놀로지,KONEX
685,347700,라이프시맨틱스,KOSDAQ
686,214260,라파스,KOSDAQ
687,115390,락앤락,KOSPI
688,200350,래몽래인,KONEX
689,171010,램테크놀러지,KOSDAQ
690,84650,랩지노믹스,KOSDAQ
691,217500,러셀,KOSDAQ
692,92590,럭스피아,KONEX
693,141080,레고켐바이오,KOSDAQ
694,60300,레드로버,KOSDAQ
695,38390,레드캡투어,KOSDAQ
696,294140,레몬,KOSDAQ
697,228670,레이,KOSDAQ
698,228850,레이언스,KOSDAQ
699,281740,레이크머티리얼즈,KOSDAQ
700,277810,레인보우로보틱스,KOSDAQ
701,179720,렌딩머신,KONEX
702,215100,로보로보,KOSDAQ
703,90360,로보스타,KOSDAQ
704,238500,로보쓰리,KONEX
705,108490,로보티즈,KOSDAQ
706,900260,로스웰,KOSDAQ
707,67730,로지시스,KOSDAQ
708,71280,로체시스템즈,KOSDAQ
709,32350,롯데관광개발,KOSPI
710,89860,롯데렌탈,KOSPI
711,330590,롯데리츠,KOSPI
712,400,롯데손해보험,KOSPI
713,23530,롯데쇼핑,KOSPI
714,4000,롯데정밀화학,KOSPI
715,286940,롯데정보통신,KOSPI
716,280360,롯데제과,KOSPI
717,4990,롯데지주,KOSPI
718,00499K,롯데지주우,KOSPI
719,5300,롯데칠성,KOSPI
720,5305,롯데칠성우,KOSPI
721,11170,롯데케미칼,KOSPI
722,2270,롯데푸드,KOSPI
723,71840,롯데하이마트,KOSPI
724,38060,루멘스,KOSDAQ
725,162120,루켄테크놀러지스,KONEX
726,253610,루트락,KONEX
727,85370,루트로닉,KOSDAQ
728,08537M,루트로닉3우C,KOSDAQ
729,60240,룽투코리아,KOSDAQ
730,58470,리노공업,KOSDAQ
731,39980,리노스,KOSDAQ
732,19570,리더스 기술투자,KOSDAQ
733,16100,리더스코스메틱,KOSDAQ
734,12700,리드코프,KOSDAQ
735,302550,리메드,KOSDAQ
736,29480,릭스솔루션,KOSDAQ
737,277070,린드먼아시아,KOSDAQ
738,42500,링네트,KOSDAQ
739,219420,링크제니시스,KOSDAQ
740,27740,마니커,KOSPI
741,195500,마니커에프앤지,KOSDAQ
742,222810,마이더스AI,KOSDAQ
743,305090,마이크로디지탈,KOSDAQ
744,98120,마이크로컨텍솔,KOSDAQ
745,147760,마이크로프랜드,KOSDAQ
746,38290,마크로젠,KOSDAQ
747,204320,만도,KOSPI
748,1080,만호제강,KOSPI
749,220630,맘스터치,KOSDAQ
750,267980,매일유업,KOSDAQ
751,5990,매일홀딩스,KOSDAQ
752,127160,매직마이크로,KOSDAQ
753,93520,매커스,KOSDAQ
754,377030,맥스트,KOSDAQ
755,88980,맥쿼리인프라,KOSPI
756,94800,맵스리얼티1,KOSPI
757,100590,머큐리,KOSDAQ
758,67280,멀티캠퍼스,KOSDAQ
759,72870,메가스터디,KOSDAQ
